Salario,Edad,Tiempo_de_Membresia,Results
14652,21,7,0
17823,19,3,0
21764,69,7,0
15466,32,2,1
6450,33,9,0
8201,24,4,1
19310,42,4,0
1069,55,3,0
28344,52,1,0
9414,44,1,1
14721,69,10,0
23795,36,3,0
25817,20,9,0
24720,20,4,0
3198,18,7,0
14437,61,8,0
17947,60,5,0
28645,57,6,0
26392,28,0,0
17100,24,8,0
26919,39,1,0
9127,69,1,1
25913,25,1,1
10419,35,10,0
17135,52,3,0
22619,31,8,0
8298,33,1,0
14923,32,6,0
19568,61,6,0
25023,61,5,0
13444,27,2,0
12914,44,3,0
22660,32,9,0
16063,68,10,0
13311,49,10,0
5870,20,2,1
5472,49,8,0
18298,70,1,0
4785,21,4,0
20786,23,10,0
7315,58,9,0
13012,42,7,0
3875,61,0,1
10187,37,4,0
29339,62,4,0
17554,19,9,0
11687,40,9,0
6578,22,6,0
1826,41,4,0
3973,51,5,0
1007,54,7,1
28342,50,3,0
19760,54,8,0
3309,49,7,0
15238,20,3,0
18136,25,7,0
6693,49,0,1
29594,20,0,0
13106,22,3,0
8880,57,9,0
25481,21,4,0
25817,22,2,0
1044,66,3,1
29719,32,4,1
18151,58,6,0
4790,34,9,0
26107,62,0,0
8596,70,6,0
5759,23,4,0
12915,50,7,0
28180,53,2,0
21062,64,5,0
6481,48,1,0
25571,59,1,0
20723,49,0,0
21413,61,7,0
3577,42,3,1
28274,35,2,0
24097,35,1,0
28072,54,5,0
26963,67,1,0
20990,47,9,0
27283,38,6,0
13878,25,6,0
24698,40,9,0
6499,44,10,0
3643,50,3,1
11211,68,9,0
22125,27,6,0
3221,44,1,1
18624,54,7,0
18650,35,5,0
4891,67,5,0
1176,21,1,1
14214,63,9,0
10182,61,0,0
29507,34,8,0
23522,63,2,0
6745,65,9,0
2914,33,7,0
7003,67,3,1
14372,24,0,0
10319,23,10,0
22366,33,0,0
23808,32,10,0
28018,69,8,0
20161,40,9,0
9485,58,6,0
7345,58,4,0
24582,64,3,0
5660,42,6,0
16733,49,7,0
3167,44,3,1
8381,62,7,0
29272,26,5,0
21980,61,3,1
10774,43,8,0
14504,39,0,0
16139,56,8,1
17513,61,0,1
17851,62,9,0
13528,31,3,0
6583,21,3,1
24968,48,1,0
14703,48,10,0
3152,26,9,0
11926,67,4,0
8608,39,3,1
8233,68,8,1
7069,70,2,1
23698,56,7,0
6580,46,5,1
22265,44,9,0
6513,47,9,0
4571,37,4,0
27890,62,10,0
22374,35,9,0
2429,27,7,0
18979,51,0,0
21405,28,5,0
7077,61,8,0
27397,28,2,0
24732,61,0,1
27653,53,3,0
22572,63,2,0
29675,66,4,0
3640,65,6,0
6216,45,0,0
28875,67,1,1
25338,23,3,0
11841,66,6,0
3761,63,2,1
22843,31,10,0
11723,18,4,0
12449,28,1,0
11550,37,9,0
4237,39,9,0
12716,38,0,0
13340,57,7,0
23113,70,0,1
19224,57,9,0
2069,66,8,0
25774,66,7,0
10299,20,1,1
17152,21,2,0
24788,27,8,0
19549,51,4,0
24310,58,9,0
6663,50,2,1
17895,25,10,0
2283,51,10,1
10120,36,4,0
2614,41,10,0
5130,53,10,0
4235,18,8,0
25316,69,10,1
10914,68,8,0
15159,45,1,0
16019,26,3,0
26486,31,7,0
14677,42,6,0
3830,23,7,0
8916,29,8,0
22790,29,8,0
2442,30,9,0
2137,38,4,0
26243,49,3,1
23516,36,5,0
6104,50,8,1
17261,54,9,0
12594,40,1,0
18754,27,9,0
26856,33,5,0
25496,44,5,0
9774,52,0,1
11506,46,1,0
21548,58,7,0
27590,25,0,0
19300,68,1,0
23943,62,3,0
